OrderID,Order Year,Order Quarter,Order Month,Order Day,Customer Name,Customer Country,Customer City,ProductName,Product CategoryName,Quantity,UnitPrice in USD,Unit Discount in %,UnitCost in USD,Shipper Name,Freight Cost (Paid by Customer),Latitude of City,Longitude of City,Code
10819,2018,Qtr 1,January,3,Los Pantalones Magicos,Argentina,Buenos Aires,Summer Shorts,Swimwear,7,11.37,0,10.48,SafeAndFast,294.65, -34.6037,-58.3815,ARG
10881,2018,Qtr 1,March,9,Los Pantalones Magicos,Argentina,Buenos Aires,Mehmet-Napp,Baby Clothes,10,1.19,0,0.89,SafeAndFast,294.65, -34.6037,-58.3815,ARG
10898,2017,Qtr 3,September,16,Los Espandrilos Fantasticos,Argentina,Buenos Aires,Aino Shoes,Baby Clothes,5,23.29,0,21.11,SafeAndFast,222, -34.6037,-58.3815,ARG
10937,2017,Qtr 4,December,6,Los Pantalones Magicos,Argentina,Buenos Aires,Baywatch Swimsuit,Swimwear,20,7.71,0,6.76,SafeAndFast,294.65, -34.6037,-58.3815,ARG
10937,2017,Qtr 4,December,6,Los Pantalones Magicos,Argentina,Buenos Aires,RDL Suit,Children's Clothes,8,49.66,0,36.81,SafeAndFast,294.65, -34.6037,-58.3815,ARG
10958,2018,Qtr 1,January,14,Los Espandrilos Fantasticos,Argentina,Buenos Aires,O-Man Underwear,Men's Clothes,20,6.17,0,4.72,SafeAndFast,222, -34.6037,-58.3815,ARG
10958,2018,Qtr 1,January,14,Los Espandrilos Fantasticos,Argentina,Buenos Aires,Oyaki Kimono,Women's Clothes,5,11.65,0,8.96,SafeAndFast,222, -34.6037,-58.3815,ARG
10958,2018,Qtr 1,January,14,Los Espandrilos Fantasticos,Argentina,Buenos Aires,Runner Shoes,Children's Clothes,6,38.17,0,33.11,SafeAndFast,222, -34.6037,-58.3815,ARG
10986,2017,Qtr 4,October,26,Los Espandrilos Fantasticos,Argentina,Buenos Aires,Borat Mankini Swimsuit,Men's Clothes,10,368.93,0,304.7,SafeAndFast,222, -34.6037,-58.3815,ARG
10986,2017,Qtr 4,October,26,Los Espandrilos Fantasticos,Argentina,Buenos Aires,Desperado Jeans,Men's Clothes,30,28.52,0,21.1,SafeAndFast,222, -34.6037,-58.3815,ARG
10986,2017,Qtr 4,October,26,Los Espandrilos Fantasticos,Argentina,Buenos Aires,Tennis Suit,Sportswear,15,80.78,0,64.49,SafeAndFast,222, -34.6037,-58.3815,ARG
10986,2017,Qtr 4,October,26,Los Espandrilos Fantasticos,Argentina,Buenos Aires,Wrap Skirt,Women's Clothes,15,13.14,0,10.95,SafeAndFast,222, -34.6037,-58.3815,ARG
11019,2018,Qtr 1,January,9,Ropa total,Argentina,Buenos Aires,Finnish Sport Blades,Sportswear,2,21.77,0,15.43,SafeAndFast,82.18, -34.6037,-58.3815,ARG
11019,2018,Qtr 1,January,9,Ropa total,Argentina,Buenos Aires,Rodbye Troje,Baby Clothes,3,11.35,0,9.07,SafeAndFast,82.18, -34.6037,-58.3815,ARG
11054,2017,Qtr 4,November,24,Los Pantalones Magicos,Argentina,Buenos Aires,Casual Boots,Sportswear,10,23.84,0,20.2,SafeAndFast,294.65, -34.6037,-58.3815,ARG
11054,2017,Qtr 4,November,24,Los Pantalones Magicos,Argentina,Buenos Aires,Minnki Pälsii,Women's Clothes,20,54.53,0,46.1,SafeAndFast,294.65, -34.6037,-58.3815,ARG
10402,2015,Qtr 4,November,28,Ski Store,Austria,Graz,DSW Sandals,Women's Footwear,60,9.07,0,7.43,Quik Shipping,320.54,47.07,15.4382,AUT
10402,2015,Qtr 4,November,28,Ski Store,Austria,Graz,Serve-Shirt,Women's Clothes,65,18.94,0,15.9,Quik Shipping,320.54,47.07,15.4382,AUT
10403,2016,Qtr 2,April,30,Ski Store,Austria,Graz,Root Boot,Men's Footwear,70,31.83,0.150000006,28.35,Quik Shipping,320.54,47.07,15.4382,AUT
10403,2016,Qtr 2,April,30,Ski Store,Austria,Graz,Wimbledon T-Shirt,Sportswear,21,10.15,0.150000006,7.33,Quik Shipping,320.54,47.07,15.4382,AUT
10571,2017,Qtr 1,January,11,Ski Store,Austria,Graz,Kool Sunglasses,Children's Clothes,11,21.99,0.150000006,20.36,Quik Shipping,320.54,47.07,15.4382,AUT
10571,2017,Qtr 1,January,11,Ski Store,Austria,Graz,Walking Shoes,Women's Footwear,28,13.54,0.150000006,10.95,Quik Shipping,320.54,47.07,15.4382,AUT
10667,2017,Qtr 2,April,8,Ski Store,Austria,Graz,Atles Lussekofta,Men's Clothes,14,31.11,0.200000003,26.49,Quik Shipping,320.54,47.07,15.4382,AUT
10667,2017,Qtr 2,April,8,Ski Store,Austria,Graz,Tube Socks,Sportswear,45,2.16,0.200000003,1.65,Quik Shipping,320.54,47.07,15.4382,AUT
10771,2017,Qtr 3,July,6,Ski Store,Austria,Graz,Atles Lussekofta,Men's Clothes,16,30.43,0,26.49,Quik Shipping,320.54,47.07,15.4382,AUT
10854,2017,Qtr 3,August,23,Ski Store,Austria,Graz,Aino Shoes,Baby Clothes,65,27.38,0.150000006,21.11,Quik Shipping,320.54,47.07,15.4382,AUT
10854,2017,Qtr 3,August,23,Ski Store,Austria,Graz,Sapporoo Gloves,Baby Clothes,100,6.3,0.150000006,6.2,Quik Shipping,320.54,47.07,15.4382,AUT
10353,2018,Qtr 2,June,11,Extrawagens,Austria,Salzburg,Desperado Jeans,Men's Clothes,12,29.75,0.200000003,21.1,Quik Shipping,1085.16,47.80,13.0444,AUT
10353,2018,Qtr 2,June,11,Extrawagens,Austria,Salzburg,Le Baby Dress,Women's Clothes,50,75.4,0.200000003,62.38,Quik Shipping,1085.16,47.80,13.0444,AUT
10392,2016,Qtr 3,July,21,Extrawagens,Austria,Salzburg,Tube Socks,Sportswear,50,2.09,0,1.65,Quik Shipping,1085.16,47.80,13.0444,AUT
10427,2016,Qtr 1,January,22,Extrawagens,Austria,Salzburg,Kool Sunglasses,Children's Clothes,35,24.33,0,20.36,Quik Shipping,1085.16,47.80,13.0444,AUT
10484,2017,Qtr 4,November,20,Extrawagens,Austria,Salzburg,Basket Shoes,Sportswear,14,9.58,0,8.78,Quik Shipping,1085.16,47.80,13.0444,AUT
10484,2017,Qtr 4,November,20,Extrawagens,Austria,Salzburg,Duck Trousers,Baby Clothes,10,18.4,0,16.34,Quik Shipping,1085.16,47.80,13.0444,AUT
10484,2017,Qtr 4,November,20,Extrawagens,Austria,Salzburg,Summit Hiking Boots,Men's Footwear,3,90.96,0,82.74,Quik Shipping,1085.16,47.80,13.0444,AUT
10489,2016,Qtr 4,November,22,Extrawagens,Austria,Salzburg,Desperado Jeans,Men's Clothes,15,28.24,0.25,21.1,Quik Shipping,1085.16,47.80,13.0444,AUT
10489,2016,Qtr 4,November,22,Extrawagens,Austria,Salzburg,Wimbledon T-Shirt,Sportswear,18,8.88,0,7.33,Quik Shipping,1085.16,47.80,13.0444,AUT
10525,2016,Qtr 1,March,29,Extrawagens,Austria,Salzburg,Duck Trousers,Baby Clothes,15,18.46,0.100000001,16.34,Quik Shipping,1085.16,47.80,13.0444,AUT
10525,2016,Qtr 1,March,29,Extrawagens,Austria,Salzburg,Mehmet-Tröja,Baby Clothes,30,7.31,0,6.45,Quik Shipping,1085.16,47.80,13.0444,AUT
10530,2016,Qtr 3,July,5,Extrawagens,Austria,Salzburg,AAA Running Shoe,Sportswear,20,27.71,0,22.24,Quik Shipping,1085.16,47.80,13.0444,AUT
10530,2016,Qtr 3,July,5,Extrawagens,Austria,Salzburg,Borat Mankini Swimsuit,Men's Clothes,50,391.15,0,304.7,Quik Shipping,1085.16,47.80,13.0444,AUT
10530,2016,Qtr 3,July,5,Extrawagens,Austria,Salzburg,Summer Shorts,Swimwear,25,10.91,0,10.48,Quik Shipping,1085.16,47.80,13.0444,AUT
10530,2016,Qtr 3,July,5,Extrawagens,Austria,Salzburg,TieBreak Tennis shoes,Men's Footwear,40,24.2,0,19.35,Quik Shipping,1085.16,47.80,13.0444,AUT
10597,2016,Qtr 3,August,8,Extrawagens,Austria,Salzburg,Lightweight Sandals,Women's Footwear,20,18.18,0,16.14,Quik Shipping,1085.16,47.80,13.0444,AUT
10597,2016,Qtr 3,August,8,Extrawagens,Austria,Salzburg,Samba Soccer Socks,Men's Clothes,35,4.92,0.200000003,3.9,Quik Shipping,1085.16,47.80,13.0444,AUT
10597,2016,Qtr 3,August,8,Extrawagens,Austria,Salzburg,Stretch Pants,Women's Clothes,12,9.48,0.200000003,8.68,Quik Shipping,1085.16,47.80,13.0444,AUT
10600,2017,Qtr 3,July,12,Extrawagens,Austria,Salzburg,Mehmet-Napp,Baby Clothes,30,1.17,0,0.89,Quik Shipping,1085.16,47.80,13.0444,AUT
10600,2017,Qtr 3,July,12,Extrawagens,Austria,Salzburg,Patamonia Fleece Jacket,Sportswear,4,35.36,0,30.27,Quik Shipping,1085.16,47.80,13.0444,AUT
10648,2016,Qtr 4,December,22,Extrawagens,Austria,Salzburg,Ravellis Träskor,Women's Footwear,15,3.51,0,2.65,Quik Shipping,1085.16,47.80,13.0444,AUT
10648,2016,Qtr 4,December,22,Extrawagens,Austria,Salzburg,Samba Soccer Socks,Men's Clothes,15,4.85,0.150000006,3.9,Quik Shipping,1085.16,47.80,13.0444,AUT
10686,2017,Qtr 2,April,26,Extrawagens,Austria,Salzburg,Bike Helmet,Sportswear,15,29.55,0,26.13,Quik Shipping,1085.16,47.80,13.0444,AUT
10686,2017,Qtr 2,April,26,Extrawagens,Austria,Salzburg,TieBreak Tennis shoes,Men's Footwear,30,22.6,0.200000003,19.35,Quik Shipping,1085.16,47.80,13.0444,AUT
10747,2016,Qtr 4,December,13,Extrawagens,Austria,Salzburg,Duck Shirt,Baby Clothes,35,9.05,0,7.28,Quik Shipping,1085.16,47.80,13.0444,AUT
10747,2016,Qtr 4,December,13,Extrawagens,Austria,Salzburg,Rossi Bermuda Shorts,Men's Clothes,8,8.24,0,7.53,Quik Shipping,1085.16,47.80,13.0444,AUT
10747,2016,Qtr 4,December,13,Extrawagens,Austria,Salzburg,Serve-Shirt,Women's Clothes,9,20.5,0,15.9,Quik Shipping,1085.16,47.80,13.0444,AUT
10747,2016,Qtr 4,December,13,Extrawagens,Austria,Salzburg,Tube Socks,Sportswear,30,2.13,0,1.65,Quik Shipping,1085.16,47.80,13.0444,AUT
10755,2017,Qtr 2,June,22,Extrawagens,Austria,Salzburg,Lightweight Sandals,Women's Footwear,14,20.52,0.25,16.14,Quik Shipping,1085.16,47.80,13.0444,AUT
10755,2017,Qtr 2,June,22,Extrawagens,Austria,Salzburg,Lundenhagen Boots,Men's Footwear,30,27.86,0.25,22.12,Quik Shipping,1085.16,47.80,13.0444,AUT
10755,2017,Qtr 2,June,22,Extrawagens,Austria,Salzburg,Slip-on Shoes,Women's Footwear,30,41.56,0.25,34.17,Quik Shipping,1085.16,47.80,13.0444,AUT
10755,2017,Qtr 2,June,22,Extrawagens,Austria,Salzburg,Tube Socks,Sportswear,25,1.99,0.25,1.65,Quik Shipping,1085.16,47.80,13.0444,AUT
10768,2016,Qtr 4,November,2,Extrawagens,Austria,Salzburg,Atles Lussekofta,Men's Clothes,12,31.76,0,26.49,Quik Shipping,1085.16,47.80,13.0444,AUT
10768,2016,Qtr 4,November,2,Extrawagens,Austria,Salzburg,Game Over T-Shirt,Sportswear,15,4.59,0,4.44,Quik Shipping,1085.16,47.80,13.0444,AUT
10768,2016,Qtr 4,November,2,Extrawagens,Austria,Salzburg,Ravellis Träskor,Women's Footwear,4,3.42,0,2.65,Quik Shipping,1085.16,47.80,13.0444,AUT
10768,2016,Qtr 4,November,2,Extrawagens,Austria,Salzburg,Rossi Bermuda Shorts,Men's Clothes,50,8.46,0,7.53,Quik Shipping,1085.16,47.80,13.0444,AUT
10773,2016,Qtr 4,December,5,Extrawagens,Austria,Salzburg,Bow tie,Men's Clothes,7,7.36,0.200000003,6.61,Quik Shipping,1085.16,47.80,13.0444,AUT
10773,2016,Qtr 4,December,5,Extrawagens,Austria,Salzburg,Rossi Bermuda Shorts,Men's Clothes,70,9.07,0.200000003,7.53,Quik Shipping,1085.16,47.80,13.0444,AUT
10773,2016,Qtr 4,December,5,Extrawagens,Austria,Salzburg,TieBreak Tennis shoes,Men's Footwear,33,25.94,0,19.35,Quik Shipping,1085.16,47.80,13.0444,AUT
10828,2017,Qtr 3,August,9,Extrawagens,Austria,Salzburg,Le Baby Dress,Women's Clothes,2,75.48,0,62.38,Quik Shipping,1085.16,47.80,13.0444,AUT
10828,2017,Qtr 3,August,9,Extrawagens,Austria,Salzburg,Tennis Suit,Sportswear,5,81.87,0,64.49,Quik Shipping,1085.16,47.80,13.0444,AUT
10844,2017,Qtr 4,November,17,Extrawagens,Austria,Salzburg,Ravellis Träskor,Women's Footwear,35,3.59,0,2.65,Quik Shipping,1085.16,47.80,13.0444,AUT
10882,2017,Qtr 4,November,7,Extrawagens,Austria,Salzburg,Finnish Sport Blades,Sportswear,20,19.95,0.150000006,15.43,Quik Shipping,1085.16,47.80,13.0444,AUT
10882,2017,Qtr 4,November,7,Extrawagens,Austria,Salzburg,Patamonia Fleece Jacket,Sportswear,32,35.42,0.150000006,30.27,Quik Shipping,1085.16,47.80,13.0444,AUT
10882,2017,Qtr 4,November,7,Extrawagens,Austria,Salzburg,Walking Shoes,Women's Footwear,25,12.63,0,10.95,Quik Shipping,1085.16,47.80,13.0444,AUT
11042,2017,Qtr 4,November,18,Extrawagens,Austria,Salzburg,AAA Running Shoe,Sportswear,4,28.54,0,22.24,Quik Shipping,1085.16,47.80,13.0444,AUT
11042,2017,Qtr 4,November,18,Extrawagens,Austria,Salzburg,Okkaba Skin Jackets,Women's Clothes,15,75.41,0,67.17,Quik Shipping,1085.16,47.80,13.0444,AUT
11053,2017,Qtr 4,November,23,Extrawagens,Austria,Salzburg,Deuce Shirt,Baby Clothes,35,25.45,0.200000003,22.09,Quik Shipping,1085.16,47.80,13.0444,AUT
11053,2017,Qtr 4,November,23,Extrawagens,Austria,Salzburg,Riviera Swimsuit,Swimwear,20,20.56,0,15.12,Quik Shipping,1085.16,47.80,13.0444,AUT
11053,2017,Qtr 4,November,23,Extrawagens,Austria,Salzburg,WFS Shoes,Women's Footwear,25,36.14,0.200000003,29.25,Quik Shipping,1085.16,47.80,13.0444,AUT
11062,2017,Qtr 4,December,26,Extrawagens,Austria,Salzburg,Jack Flash Dress,Women's Clothes,10,61.54,0.200000003,52.38,Quik Shipping,1085.16,47.80,13.0444,AUT
11062,2017,Qtr 4,December,26,Extrawagens,Austria,Salzburg,US-Master Jeans,Men's Clothes,12,27.68,0.200000003,24.98,Quik Shipping,1085.16,47.80,13.0444,AUT
10529,2018,Qtr 3,July,5,De la Vita,Belgium,Brussels,Cap,Sportswear,20,13.73,0,9.67,Quik Shipping,207.6,50.84,4.3707,BEL
10529,2018,Qtr 3,July,5,De la Vita,Belgium,Brussels,Feiss Fleece Trousers,Sportswear,14,36.97,0,33.18,Quik Shipping,207.6,50.84,4.3707,BEL
10529,2018,Qtr 3,July,5,De la Vita,Belgium,Brussels,Tube Socks,Sportswear,10,2.06,0,1.65,Quik Shipping,207.6,50.84,4.3707,BEL
10649,2017,Qtr 1,March,24,De la Vita,Belgium,Brussels,Oyaki Kimono,Women's Clothes,15,12.19,0,8.96,Quik Shipping,207.6,50.84,4.3707,BEL
10649,2017,Qtr 1,March,24,De la Vita,Belgium,Brussels,RDL Suit,Children's Clothes,20,47.43,0,36.81,Quik Shipping,207.6,50.84,4.3707,BEL
10760,2017,Qtr 1,January,25,De la Vita,Belgium,Brussels,Basket Vest,Sportswear,12,12.8,0.25,10.85,Quik Shipping,207.6,50.84,4.3707,BEL
10760,2017,Qtr 1,January,25,De la Vita,Belgium,Brussels,Summer Shorts,Swimwear,30,12.38,0.25,10.48,Quik Shipping,207.6,50.84,4.3707,BEL
10760,2017,Qtr 1,January,25,De la Vita,Belgium,Brussels,Tracksuit,Sportswear,40,39.8,0,36.06,Quik Shipping,207.6,50.84,4.3707,BEL
10896,2017,Qtr 4,October,15,De la Vita,Belgium,Brussels,Danske Treshoe,Men's Footwear,15,9.39,0,8.44,Quik Shipping,207.6,50.84,4.3707,BEL
10896,2017,Qtr 4,October,15,De la Vita,Belgium,Brussels,Slip-on Shoes,Women's Footwear,16,36.17,0,34.17,Quik Shipping,207.6,50.84,4.3707,BEL
10252,2017,Qtr 4,November,5,Belgium Black Jeans,Belgium,Charleroi,Casual Boots,Sportswear,25,23.64,0.050000001,20.2,Quik Shipping,246.1,50.40,4.4333,BEL
10252,2017,Qtr 4,November,5,Belgium Black Jeans,Belgium,Charleroi,Game Over T-Shirt,Sportswear,40,4.55,0,4.44,Quik Shipping,246.1,50.40,4.4333,BEL
10252,2017,Qtr 4,November,5,Belgium Black Jeans,Belgium,Charleroi,Tennis Suit,Sportswear,40,75.93,0.050000001,64.49,Quik Shipping,246.1,50.40,4.4333,BEL
10767,2017,Qtr 3,July,1,Belgium Black Jeans,Belgium,Charleroi,Walking Shoes,Women's Footwear,2,13.35,0,10.95,Quik Shipping,246.1,50.40,4.4333,BEL
10846,2017,Qtr 3,August,18,Belgium Black Jeans,Belgium,Charleroi,Rossi Shorts,Women's Clothes,21,22.58,0,19.34,Quik Shipping,246.1,50.40,4.4333,BEL
10846,2017,Qtr 3,August,18,Belgium Black Jeans,Belgium,Charleroi,US-Master Jeans,Men's Clothes,30,30.75,0,24.98,Quik Shipping,246.1,50.40,4.4333,BEL
10846,2017,Qtr 3,August,18,Belgium Black Jeans,Belgium,Charleroi,X-Train Shoes,Children's Clothes,20,31.09,0,24.39,Quik Shipping,246.1,50.40,4.4333,BEL
10885,2018,Qtr 1,March,10,Belgium Black Jeans,Belgium,Charleroi,Mr2 Trousers,Men's Clothes,20,19.45,0,16.17,Quik Shipping,246.1,50.40,4.4333,BEL
10885,2018,Qtr 1,March,10,Belgium Black Jeans,Belgium,Charleroi,Samba Soccer Socks,Men's Clothes,12,4.56,0,3.9,Quik Shipping,246.1,50.40,4.4333,BEL
10885,2018,Qtr 1,March,10,Belgium Black Jeans,Belgium,Charleroi,US-Master Jeans,Men's Clothes,30,29.44,0,24.98,Quik Shipping,246.1,50.40,4.4333,BEL
10885,2018,Qtr 1,March,10,Belgium Black Jeans,Belgium,Charleroi,Wrap Skirt,Women's Clothes,25,13.69,0,10.95,Quik Shipping,246.1,50.40,4.4333,BEL
11035,2018,Qtr 2,May,18,Belgium Black Jeans,Belgium,Charleroi,LA. Shorts,Swimwear,60,6.11,0,5.17,Quik Shipping,246.1,50.40,4.4333,BEL
11035,2018,Qtr 2,May,18,Belgium Black Jeans,Belgium,Charleroi,Lenin Jeansshorts,Men's Clothes,10,19.55,0,15.37,Quik Shipping,246.1,50.40,4.4333,BEL
11035,2018,Qtr 2,May,18,Belgium Black Jeans,Belgium,Charleroi,Patamonia Fleece Jacket,Sportswear,10,37.3,0,30.27,Quik Shipping,246.1,50.40,4.4333,BEL
11035,2018,Qtr 2,May,18,Belgium Black Jeans,Belgium,Charleroi,Walking Shoes,Women's Footwear,30,13.32,0,10.95,Quik Shipping,246.1,50.40,4.4333,BEL
10423,2016,Qtr 1,January,18,Paintho da Gama,Brazil,Campinas,Rasta WCT,Sportswear,20,8.92,0,6.69,SafeAndFast,393.71,-22.90,-47.0573,BRA
10423,2016,Qtr 1,January,18,Paintho da Gama,Brazil,Campinas,Rossi Bermuda Shorts,Men's Clothes,14,7.69,0,7.53,SafeAndFast,393.71,-22.90,-47.0573,BRA
10652,2017,Qtr 3,July,28,Paintho da Gama,Brazil,Campinas,Baby Dark Lounge Suit,Baby Clothes,2,26.24,0.25,22.71,SafeAndFast,393.71,-22.90,-47.0573,BRA
10652,2017,Qtr 3,July,28,Paintho da Gama,Brazil,Campinas,Walking Shoes,Women's Footwear,20,13.38,0,10.95,SafeAndFast,393.71,-22.90,-47.0573,BRA
10685,2017,Qtr 2,June,25,Paintho da Gama,Brazil,Campinas,Duck Shirt,Baby Clothes,4,9.21,0,7.28,SafeAndFast,393.71,-22.90,-47.0573,BRA
10685,2017,Qtr 2,June,25,Paintho da Gama,Brazil,Campinas,Lundenhagen Boots,Men's Footwear,15,25.02,0,22.12,SafeAndFast,393.71,-22.90,-47.0573,BRA
10685,2017,Qtr 2,June,25,Paintho da Gama,Brazil,Campinas,Sapporoo Gloves,Baby Clothes,20,7.53,0,6.2,SafeAndFast,393.71,-22.90,-47.0573,BRA
10709,2017,Qtr 2,May,13,Paintho da Gama,Brazil,Campinas,Game Over T-Shirt,Sportswear,10,4.91,0,4.44,SafeAndFast,393.71,-22.90,-47.0573,BRA
10709,2017,Qtr 2,May,13,Paintho da Gama,Brazil,Campinas,Summit Hiking Boots,Men's Footwear,28,91.48,0,82.74,SafeAndFast,393.71,-22.90,-47.0573,BRA
10709,2017,Qtr 2,May,13,Paintho da Gama,Brazil,Campinas,Tuxedo Top,Women's Clothes,40,20.33,0,16.14,SafeAndFast,393.71,-22.90,-47.0573,BRA
10734,2017,Qtr 2,June,3,Paintho da Gama,Brazil,Campinas,Baby Dark Lounge Suit,Baby Clothes,15,23.42,0,22.71,SafeAndFast,393.71,-22.90,-47.0573,BRA
10734,2017,Qtr 2,June,3,Paintho da Gama,Brazil,Campinas,Borat Mankini Swimsuit,Men's Clothes,20,412.62,0,304.7,SafeAndFast,393.71,-22.90,-47.0573,BRA
10734,2017,Qtr 2,June,3,Paintho da Gama,Brazil,Campinas,Shagall Socks,Women's Clothes,30,4.03,0,3.21,SafeAndFast,393.71,-22.90,-47.0573,BRA
10777,2017,Qtr 3,July,11,Paintho da Gama,Brazil,Campinas,Walking Shoes,Women's Footwear,20,15.04,0.200000003,10.95,SafeAndFast,393.71,-22.90,-47.0573,BRA
10790,2017,Qtr 3,July,18,Paintho da Gama,Brazil,Campinas,Runner Shoes,Children's Clothes,3,38.9,0.150000006,33.11,SafeAndFast,393.71,-22.90,-47.0573,BRA
10790,2017,Qtr 3,July,18,Paintho da Gama,Brazil,Campinas,Slip-on Shoes,Women's Footwear,20,36.44,0.150000006,34.17,SafeAndFast,393.71,-22.90,-47.0573,BRA
10959,2017,Qtr 4,October,14,Paintho da Gama,Brazil,Campinas,Bow tie,Men's Clothes,20,7.24,0.150000006,6.61,SafeAndFast,393.71,-22.90,-47.0573,BRA
11049,2018,Qtr 1,February,19,Paintho da Gama,Brazil,Campinas,Mr2 Trousers,Men's Clothes,10,18.7,0.200000003,16.17,SafeAndFast,393.71,-22.90,-47.0573,BRA
11049,2018,Qtr 1,February,19,Paintho da Gama,Brazil,Campinas,Tank Swimsuit,Swimwear,4,9.22,0.200000003,7.92,SafeAndFast,393.71,-22.90,-47.0573,BRA
10874,2017,Qtr 3,September,2,Da Santho Cosmethia,Brazil,Resende,Sapporoo Gloves,Baby Clothes,10,6.6,0,6.2,SafeAndFast,21.48,-22.47,-44.4537,BRA
10250,2018,Qtr 1,February,3,El Carnevale,Brazil,Rio de Janeiro,Duck Shirt,Baby Clothes,10,9.59,0,7.28,SafeAndFast,825.07,-22.90,-43.1789,BRA
10250,2018,Qtr 1,February,3,El Carnevale,Brazil,Rio de Janeiro,Stretch Pants,Women's Clothes,15,9.47,0.150000006,8.68,SafeAndFast,825.07,-22.90,-43.1789,BRA
10250,2018,Qtr 1,February,3,El Carnevale,Brazil,Rio de Janeiro,Summit Hiking Boots,Men's Footwear,35,97.67,0.150000006,82.74,SafeAndFast,825.07,-22.90,-43.1789,BRA
10253,2018,Qtr 1,February,5,El Carnevale,Brazil,Rio de Janeiro,Finnish Sport Blades,Sportswear,40,19.91,0,15.43,SafeAndFast,825.07,-22.90,-43.1789,BRA
10253,2018,Qtr 1,February,5,El Carnevale,Brazil,Rio de Janeiro,Rossi Bermuda Shorts,Men's Clothes,20,8.28,0,7.53,SafeAndFast,825.07,-22.90,-43.1789,BRA
10253,2018,Qtr 1,February,5,El Carnevale,Brazil,Rio de Janeiro,Terence Top,Women's Clothes,42,57.95,0,48.17,SafeAndFast,825.07,-22.90,-43.1789,BRA
10261,2018,Qtr 1,February,14,Copacabana,Brazil,Rio de Janeiro,Basket Shoes,Sportswear,20,10.01,0,8.78,SafeAndFast,308.94,-22.90,-43.1789,BRA
10261,2018,Qtr 1,February,14,Copacabana,Brazil,Rio de Janeiro,LA. Shorts,Swimwear,20,6.56,0,5.17,SafeAndFast,308.94,-22.90,-43.1789,BRA
10287,2015,Qtr 1,January,18,Da Bikini Expertu,Brazil,Rio de Janeiro,Baywatch Swimsuit,Swimwear,20,7.67,0,6.76,SafeAndFast,237.23,-22.90,-43.1789,BRA
10287,2015,Qtr 1,January,18,Da Bikini Expertu,Brazil,Rio de Janeiro,Rodbye Troje,Baby Clothes,15,12.23,0.150000006,9.07,SafeAndFast,237.23,-22.90,-43.1789,BRA
10287,2015,Qtr 1,January,18,Da Bikini Expertu,Brazil,Rio de Janeiro,Wimbledon T-Shirt,Sportswear,40,8.88,0.150000006,7.33,SafeAndFast,237.23,-22.90,-43.1789,BRA
10291,2015,Qtr 1,March,24,Copacabana,Brazil,Rio de Janeiro,Aino Shoes,Baby Clothes,20,23.03,0.100000001,21.11,SafeAndFast,308.94,-22.90,-43.1789,BRA
10291,2015,Qtr 1,March,24,Copacabana,Brazil,Rio de Janeiro,Okkaba Skin Jackets,Women's Clothes,24,82.68,0.100000001,67.17,SafeAndFast,308.94,-22.90,-43.1789,BRA
